run_id,model_name,method,phase1_epochs,phase2_epochs,batch_size,phase1_lr,phase2_lr,safe_model_name,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_yes_precision,eval_no_precision,eval_maybe_precision,eval_yes_recall,eval_no_recall,eval_maybe_recall,eval_yes_f1,eval_no_f1,eval_maybe_f1,eval_support_yes,eval_support_no,eval_support_maybe,eval_macro_roc_auc_ovr,eval_yes_roc_auc_ovr,eval_no_roc_auc_ovr,eval_maybe_roc_auc_ovr,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,stage1_eval_loss,stage2_eval_loss,stage1_time_sec,stage2_time_sec,total_time_sec
20260608_110848,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,lora,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,1.9855859279632568,0.695,0.4878615544548401,0.4687924016282225,0.5167206040992448,0.6791044776119403,0.7272727272727273,0.0,0.883495145631068,0.6666666666666666,0.0,0.7679324894514767,0.6956521739130435,0.0,103,72,25,0.7534435287542518,0.8228405565008509,0.8196614583333334,0.6178285714285714,0.3711,538.94,67.368,8.0,2.651984214782715,1.9855859279632568,638.0354121662676,30.096928779035807,670.9679520018399
20260608_113030,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,dora,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,1.940382480621338,0.665,0.4666666666666666,0.43890990612302083,0.49869651204602655,0.6885245901639344,0.6282051282051282,0.0,0.8155339805825242,0.6805555555555556,0.0,0.7466666666666667,0.6533333333333333,0.0,103,72,25,0.7498629957454434,0.8101291162045842,0.8127170138888887,0.6267428571428572,0.3985,501.889,62.736,8.0,2.7675275802612305,1.940382480621338,819.7317598946393,36.31614611297846,859.108001947403
20260608_120306,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,ia3,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,2.102414846420288,0.515,0.22662266226622663,0.17166666666666666,0.3333333333333333,0.515,0.0,0.0,1.0,0.0,0.0,0.6798679867986799,0.0,0.0,103,72,25,0.5723018470004287,0.600540486437794,0.6068793402777778,0.5094857142857143,0.3768,530.77,66.346,8.0,3.2451388835906982,2.102414846420288,735.2350056432188,32.84434571862221,770.9854455813766
20260608_122941,bert-base-uncased,lora,1,8,8,2e-05,5e-06,bert-base-uncased,1.5229218006134033,0.495,0.35276823214967545,0.3455397061954439,0.3928443006112909,0.6103896103896104,0.4262295081967213,0.0,0.4563106796116505,0.7222222222222222,0.0,0.5222222222222223,0.5360824742268041,0.0,103,72,25,0.5724618133982622,0.6346712040836754,0.644314236111111,0.4384,0.3295,607.045,75.881,8.0,2.809372663497925,1.5229218006134033,637.2521191239357,26.32856684550643,665.5462124161422
20260608_124309,bert-base-uncased,lora,1,8,8,2e-05,5e-06,bert-base-uncased,1.612546443939209,0.515,0.3874223835378108,0.3851238572133075,0.39777238403452,0.6237623762376238,0.4482758620689655,0.08333333333333333,0.6116504854368932,0.5416666666666666,0.04,0.6176470588235294,0.49056603773584906,0.05405405405405406,103,72,25,0.5616345183077137,0.6489840856771093,0.606662326388889,0.4292571428571428,0.365,547.87,68.484,8.0,2.7383017539978027,1.612546443939209,637.9845625050366,26.226728454232216,666.20808294788
20260608_130100,bert-base-uncased,dora,1,8,8,2e-05,5e-06,bert-base-uncased,1.5781461000442505,0.485,0.37104330886074194,0.3702561441940009,0.3741747572815534,0.631578947368421,0.43373493975903615,0.045454545454545456,0.5825242718446602,0.5,0.04,0.6060606060606061,0.4645161290322581,0.0425531914893617,103,72,25,0.5550116836973713,0.6337703933540186,0.5738932291666666,0.45737142857142854,0.4102,487.59,60.949,8.0,2.765437126159668,1.5781461000442505,821.6879187002778,32.3751209191978,856.1729386299849
20260608_131513,bert-base-uncased,ia3,1,8,8,2e-05,5e-06,bert-base-uncased,2.286379337310791,0.52,0.25301409407369674,0.5058626465661642,0.3466666666666667,0.5175879396984925,0.0,1.0,1.0,0.0,0.04,0.6821192052980133,0.0,0.07692307692307693,103,72,25,0.5050138805033657,0.5024522069862876,0.4889322916666667,0.5236571428571428,0.3621,552.349,69.044,8.0,4.180242538452148,2.286379337310791,734.4058798030019,29.368872199207544,765.8023747727275
20260608_133654,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,adapter,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,1.480747103691101,0.685,0.4803508146740314,0.4522225741737937,0.5130348795397338,0.7073170731707317,0.6493506493506493,0.0,0.8446601941747572,0.6944444444444444,0.0,0.7699115044247787,0.6711409395973155,0.0,103,72,25,0.7417445488977447,0.8178360524472025,0.8117404513888888,0.5956571428571428,0.3686,542.575,67.822,8.0,2.656186580657959,1.480747103691101,632.6796748228371,26.016817193478346,660.6573948264122
20260608_172315,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,prefix,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,0.8953964114189148,0.615,0.4205412907702984,0.40877128805430224,0.44682668104998197,0.6330935251798561,0.5932203389830508,0.0,0.8543689320388349,0.4861111111111111,0.0,0.7272727272727273,0.5343511450381679,0.0,103,72,25,0.6848179654537961,0.7518766890201182,0.7498914930555556,0.5526857142857142,0.3311,603.977,75.497,8.0,2.3788983821868896,0.8953964114189148,580.4310079328716,29.056960321962833,612.7526441067457
20260608_173609,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,adapter,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,1.3585865497589111,0.685,0.4803508146740314,0.4522225741737937,0.5130348795397338,0.7073170731707317,0.6493506493506493,0.0,0.8446601941747572,0.6944444444444444,0.0,0.7699115044247787,0.6711409395973155,0.0,103,72,25,0.7296386533693816,0.824942448203383,0.8138020833333334,0.5501714285714285,0.3359,595.339,74.417,8.0,2.5503265857696533,1.3585865497589111,632.26011043787,26.017302133142948,660.4054019227624
20260608_180124,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,adapter,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,1.4508792161941528,0.67,0.47041932184721896,0.44166666666666665,0.5033261416756561,0.7,0.625,0.0,0.8155339805825242,0.6944444444444444,0.0,0.7533632286995515,0.6578947368421053,0.0,103,72,25,0.7269725665011539,0.8197377639875888,0.8126085069444444,0.5485714285714286,0.3475,575.606,71.951,8.0,2.6536126136779785,1.4508792161941528,631.4560889080167,26.986089631915092,660.571791857481
20260608_181629,bert-base-uncased,prefix,1,8,8,2e-05,5e-06,bert-base-uncased,1.0067576169967651,0.59,0.43093650793650795,0.4491162833402195,0.4393491549802229,0.6058394160583942,0.6415094339622641,0.1,0.8058252427184466,0.4722222222222222,0.04,0.6916666666666667,0.544,0.05714285714285714,103,72,25,0.6176370641902779,0.6925232709438495,0.7030164930555556,0.45737142857142854,0.3302,605.667,75.708,8.0,2.69038462638855,1.0067576169967651,579.8587494753301,26.856128700077534,608.8263464383781
20260608_185852,bert-base-uncased,adapter,1,8,8,2e-05,5e-06,bert-base-uncased,1.079176425933838,0.595,0.4188580170346481,0.4031393420494427,0.4408486156058971,0.6124031007751938,0.5970149253731343,0.0,0.7669902912621359,0.5555555555555556,0.0,0.6810344827586207,0.5755395683453237,0.0,103,72,25,0.5767944876761439,0.670503453107797,0.7211371527777778,0.3387428571428571,0.3821,523.439,65.43,8.0,2.7368836402893066,1.079176425933838,630.8220581151545,22.83879341557622,655.7083959728479
20260608_193202,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,lora,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,1.6644610166549683,0.645,0.45374786551257135,0.42573572638932117,0.48575152822725637,0.6722689075630253,0.6049382716049383,0.0,0.7766990291262136,0.6805555555555556,0.0,0.7207207207207207,0.6405228758169934,0.0,103,72,25,0.6549914695472949,0.7738965068561705,0.7919921875,0.39908571428571427,0.3376,592.489,74.061,8.0,2.837489604949951,1.6644610166549683,636.7201221771538,22.941408421844244,663.4811935946345
20260608_194838,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,lora,1,8,8,2e-05,5e-06,BiomedNLP-PubMedBERT-base-uncased-abstract,1.5325264930725098,0.66,0.4604095631193794,0.43472043472043476,0.49128011506652286,0.6825396825396826,0.6216216216216216,0.0,0.8349514563106796,0.6388888888888888,0.0,0.7510917030567685,0.6301369863013698,0.0,103,72,25,0.7071885565122035,0.8077269542588329,0.8002387152777777,0.5136000000000001,0.3309,604.382,75.548,8.0,2.9426276683807373,1.5325264930725098,637.7117652893066,23.028688240796328,664.5945419743657
